"class","UC1","UC2","UC3","UC4","UC5","UC6","UC8","UC9","UC10","UC11","UC12","UC13","UC15","UC16","UC17","UC18","UC19","UC21","UC23","UC24","UC25","UC26","UC27","UC28","UC29","UC30","UC31","UC32","UC33","UC34","UC35","UC36","UC37","UC38"
"MonitorAdverseEventAction::getReports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","",""
"ViewPatientOfficeVisitHistoryAction::getPatients","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","",""
"RemoteMonitoringDAO::getPatientsData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","",""
"sendMessage_jsp::_jspService","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","",""
"UpdateHospitalListAction::updateInformation","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","",""
"VisitDAO::getAllOfficeVisits","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ChangeSessionTimeoutAction::changeSessionTimeout","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PersonnelDAO::addEmptyPersonnel","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GetVisitRemindersAction::getImmunizationNeeders","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","",""
"UpdateNDCodeListAction::addNDCode","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","",""
"CPTCodesDAO::updateCode","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","",""
"PersonnelDAO::getPersonnel","","","","","","x","","","x","","","","","","","","","","","","","","","","x","","","x","x","","","x","",""
"OfficeVisitDAO::update","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","",""
"EmergencyReportAction::getPatientGender","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","",""
"MonitorAdverseEventAction::getName","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","",""
"hospitalListing_jsp::_jspService","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","",""
"HospitalsDAO::getAllHospitals","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","",""
"EditRepresentativesAction::removeRepresentative","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","",""
"RiskChecker::isAtRisk","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","",""
"ViewMyRemoteMonitoringListAction::getPatientDataWithoutLogging","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","",""
"UpdateHospitalListAction::addHospital","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","",""
"AddRemoteMonitoringDataAction::addRemoteMonitoringData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","",""
"AllergyDAO::getAllergies","","","","","","","","x","","x","","","","","","","","x","x","","","","","","","","","","","","","","x",""
"ViewMyRecordsAction::getRepresented","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","",""
"ViewMyRecordsAction::getFamily","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","",""
"ViewPrescriptionRenewalNeedsAction::getRenewalNeedsPatients","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","",""
"EditPersonnelAction::getPid","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AddPatientValidator::validate","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OfficeVisitDAO::addProcedureToOfficeVisit","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","",""
"EditPHRAction::getPatient","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","",""
"LOINCDAO::addLOINC","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","",""
"OfficeVisitDAO::getOfficeVisit","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","x","","",""
"LabProcedureDAO::getAllLabProceduresForDocOV","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","",""
"DiseaseMediator::getDiseaseAtRisk","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","",""
"ViewReportAction::getPrescriptions","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","",""
"ProcedureBeanValidator::validate","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","",""
"EditHealthHistoryAction::addHealthRecord","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","",""
